GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC76,HC02_VC76,HC03_VC76,HC04_VC76,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118,HC01_VC130,HC02_VC130,HC03_VC130,HC04_VC130,HC01_VC131,HC02_VC131,HC03_VC131,HC04_VC131,HC01_VC132,HC02_VC132,HC03_VC132,HC04_VC132,HC01_VC133,HC02_VC133,HC03_VC133,HC04_VC133,HC01_VC134,HC02_VC134,HC03_VC134,HC04_VC134,HC01_VC161,HC02_VC161,HC03_VC161,HC04_VC161,HC01_VC162,HC02_VC162,HC03_VC162,HC04_VC162,HC01_VC163,HC02_VC163,HC03_VC163,HC04_VC163
0400000US36,36,New York,16001813,7423,16001813,,10107472,26447,63.2,0.2,5894341,27056,36.8,0.2,10085377,26871,10085377,,7282398,15877,7282398,,592049,12390,8.1,0.2,377078,8998,5.2,0.1,710340,11678,9.8,0.2,640943,11760,8.8,0.2,860164,12574,11.8,0.2,1190002,14764,16.3,0.2,864451,13610,11.9,0.2,1032605,15593,14.2,0.2,464067,10306,6.4,0.1,550699,10316,7.6,0.1,58878,393,,,86563,620,,,1135978,16136,15.6,0.2,33095,228,,,19499548,2102,19499548,,17802989,27850,91.3,0.1,12771678,57996,65.5,0.3,7187276,47355,36.9,0.2,1696559,27877,8.7,0.1,,,12.2,0.3,,,19.0,0.5,,,15.8,1.1
0500000US36001,36001,"Albany County, New York",256137,935,256137,,166147,3787,64.9,1.5,89990,3837,35.1,1.5,165910,3843,165910,,124716,2418,124716,,7884,1603,6.3,1.3,5590,1223,4.5,1.0,11101,1689,8.9,1.3,10964,1760,8.8,1.4,17158,1930,13.8,1.6,21097,1801,16.9,1.4,16518,1684,13.2,1.3,20490,1822,16.4,1.4,7654,1120,6.1,0.9,6260,1030,5.0,0.8,60655,2074,,,79555,3143,,,15136,1966,12.1,1.6,33008,1295,,,304137,1793,304137,,286180,3399,94.1,0.9,233765,5375,76.9,1.7,93513,4236,30.7,1.4,17957,2845,5.9,0.9,,,8.4,1.8,,,15.8,3.4,,,15.3,7.2
0500000US36005,36005,"Bronx County, New York",1111679,1857,1111679,,648994,8615,58.4,0.8,462685,8977,41.6,0.8,648915,8600,648915,,492481,3016,492481,,80863,4305,16.4,0.9,45953,3388,9.3,0.7,71770,4266,14.6,0.9,52165,3473,10.6,0.7,68077,3855,13.8,0.8,74277,3797,15.1,0.8,42291,3725,8.6,0.8,37068,3176,7.5,0.6,11540,1565,2.3,0.3,8477,1161,1.7,0.2,33712,1709,,,48932,1152,,,183082,5833,37.2,1.2,18158,410,,,1416359,2309,1416359,,1227245,10370,86.6,0.7,601029,16036,42.4,1.1,759031,15464,53.6,1.1,189114,10105,13.4,0.7,,,29.1,1.4,,,38.1,1.8,,,25.6,4.6
0500000US36007,36007,"Broome County, New York",163151,700,163151,,93639,2861,57.4,1.8,69512,2996,42.6,1.8,93488,2857,93488,,78810,1581,78810,,8032,1251,10.2,1.6,4475,1004,5.7,1.3,8495,1371,10.8,1.7,9068,1085,11.5,1.4,11340,1527,14.4,1.9,14838,1590,18.8,2.0,8627,1257,10.9,1.6,10065,1336,12.8,1.6,2346,657,3.0,0.8,1524,555,1.9,0.7,46776,2902,,,59210,2266,,,12196,1406,15.5,1.7,24270,957,,,194278,1021,194278,,185231,1722,95.3,0.8,130958,4983,67.4,2.6,82986,5096,42.7,2.6,9047,1587,4.7,0.8,,,11.8,2.4,,,18.7,4.1,,,19.4,10.3
0500000US36009,36009,"Cattaraugus County, New York",62899,355,62899,,36976,1169,58.8,1.9,25923,1197,41.2,1.9,36956,1171,36956,,30735,1061,30735,,2162,487,7.0,1.5,2142,522,7.0,1.6,4025,692,13.1,2.3,3930,566,12.8,1.7,4305,663,14.0,2.1,6233,914,20.3,2.8,3756,579,12.2,1.9,3061,485,10.0,1.6,723,328,2.4,1.1,398,159,1.3,0.5,44320,3350,,,57193,2606,,,5530,754,18.0,2.4,22930,945,,,77789,421,77789,,70867,1686,91.1,2.0,53281,2220,68.5,2.8,31310,2013,40.2,2.6,6922,1522,8.9,2.0,,,10.0,2.2,,,18.1,4.7,,,27.9,15.5
0500000US36011,36011,"Cayuga County, New York",64692,255,64692,,39453,1703,61.0,2.6,25239,1676,39.0,2.6,39453,1703,39453,,31290,1091,31290,,1857,576,5.9,1.8,1822,550,5.8,1.8,2996,663,9.6,2.1,3506,813,11.2,2.4,4378,633,14.0,2.0,7355,928,23.5,3.0,3603,679,11.5,2.1,4300,659,13.7,2.1,1163,374,3.7,1.2,310,159,1.0,0.5,53780,2675,,,63102,3218,,,4807,946,15.4,2.8,25458,1300,,,75277,1716,75277,,70816,1602,94.1,1.3,55449,2242,73.7,2.7,27607,2166,36.7,2.9,4461,1010,5.9,1.3,,,8.2,2.6,,,16.0,5.2,,,13.1,15.2
0500000US36013,36013,"Chautauqua County, New York",107683,452,107683,,61451,1662,57.1,1.6,46232,1707,42.9,1.6,61409,1670,61409,,52916,1601,52916,,4847,945,9.2,1.6,4185,762,7.9,1.5,7675,1077,14.5,2.0,5501,965,10.4,1.8,8727,1166,16.5,2.2,9558,1002,18.1,1.8,6337,950,12.0,1.8,4523,689,8.5,1.3,769,278,1.5,0.5,794,315,1.5,0.6,41808,1825,,,53100,2364,,,9697,1228,18.3,2.0,22005,897,,,129300,925,129300,,120580,2160,93.3,1.4,82671,2522,63.9,2.0,57021,2981,44.1,2.2,8720,1809,6.7,1.4,,,15.0,2.4,,,27.8,4.8,,,33.2,14.1
0500000US36015,36015,"Chemung County, New York",70087,464,70087,,38894,1891,55.5,2.7,31193,1867,44.5,2.7,38894,1891,38894,,34617,1154,34617,,3337,857,9.6,2.5,1655,629,4.8,1.8,3799,800,11.0,2.3,3315,763,9.6,2.2,5105,943,14.7,2.7,6493,1020,18.8,2.9,4129,847,11.9,2.4,4297,845,12.4,2.5,1303,497,3.8,1.4,1184,419,3.4,1.2,50232,3882,,,65626,3804,,,5244,938,15.1,2.5,26159,1466,,,84358,1099,84358,,79947,1650,94.8,1.4,56347,3183,66.8,3.6,36414,2767,43.2,3.2,4411,1149,5.2,1.4,,,16.0,3.5,,,27.4,6.2,,,38.9,15.3
0500000US36019,36019,"Clinton County, New York",69007,393,69007,,39102,1930,56.7,2.8,29905,1981,43.3,2.8,39102,1930,39102,,31426,1112,31426,,2720,700,8.7,2.2,1546,584,4.9,1.9,3599,846,11.5,2.7,2825,820,9.0,2.6,4132,949,13.1,3.0,6213,964,19.8,2.9,4604,968,14.7,3.1,3853,730,12.3,2.3,1391,647,4.4,2.0,543,254,1.7,0.8,53575,4245,,,64480,4170,,,5782,920,18.4,2.9,24992,1619,,,77166,869,77166,,72843,1449,94.4,1.5,57731,2855,74.8,3.7,28325,2705,36.7,3.4,4323,1126,5.6,1.5,,,9.4,3.2,,,16.6,6.6,,,28.5,20.8
0500000US36027,36027,"Dutchess County, New York",244816,875,244816,,159983,3402,65.3,1.4,84833,3540,34.7,1.4,159860,3376,159860,,104190,2449,104190,,4746,1070,4.6,1.0,4383,1091,4.2,1.0,8257,1456,7.9,1.4,7947,1403,7.6,1.3,11196,1245,10.7,1.2,17933,1628,17.2,1.5,15041,1829,14.4,1.7,18661,1858,17.9,1.7,8790,986,8.4,0.9,7236,1070,6.9,1.0,71165,2168,,,90425,4095,,,10131,1731,9.7,1.7,33455,1457,,,288947,1611,288947,,268424,2793,92.9,0.9,219283,4932,75.9,1.6,88015,4919,30.5,1.7,20523,2773,7.1,0.9,,,6.2,1.8,,,10.6,3.3,,,10.7,8.3
