Year,Patient County,PQI Number,PQI Name,"Observed Rate Per 100,000 People","Expected Rate Per 100,000 People"
2009,STATEWIDE,PQI_01,Diabetes Short-term Complications,56.32,56.32
2010,STATEWIDE,PQI_01,Diabetes Short-term Complications,56.54,56.54
2011,STATEWIDE,PQI_01,Diabetes Short-term Complications,59.73,59.73
2012,STATEWIDE,PQI_01,Diabetes Short-term Complications,62.59,62.59
2009,STATEWIDE,PQI_03,Diabetes Long-term Complications,146.41,146.41
2010,STATEWIDE,PQI_03,Diabetes Long-term Complications,145.09,145.09
2011,STATEWIDE,PQI_03,Diabetes Long-term Complications,146.08,146.08
2012,STATEWIDE,PQI_03,Diabetes Long-term Complications,136.62,136.62
2009,STATEWIDE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,573.32,573.32
2010,STATEWIDE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,535.92,535.92
2011,STATEWIDE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,537.13,537.13
2012,STATEWIDE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,511.39,511.39
2009,STATEWIDE,PQI_07,Hypertension,78.65,78.65
2010,STATEWIDE,PQI_07,Hypertension,77,77
2011,STATEWIDE,PQI_07,Hypertension,76.01,76.01
2012,STATEWIDE,PQI_07,Hypertension,74.47,74.47
2009,STATEWIDE,PQI_08,Heart Failure,380.16,380.16
2010,STATEWIDE,PQI_08,Heart Failure,344.96,344.96
2011,STATEWIDE,PQI_08,Heart Failure,331.43,331.43
2012,STATEWIDE,PQI_08,Heart Failure,318.45,318.45
2009,STATEWIDE,PQI_10,Dehydration,137.61,137.61
2010,STATEWIDE,PQI_10,Dehydration,125.84,125.84
2011,STATEWIDE,PQI_10,Dehydration,122.98,122.98
2012,STATEWIDE,PQI_10,Dehydration,114.95,114.95
2009,STATEWIDE,PQI_11,Bacterial Pneumonia,285.12,285.12
2010,STATEWIDE,PQI_11,Bacterial Pneumonia,249.48,249.48
2011,STATEWIDE,PQI_11,Bacterial Pneumonia,260.48,260.48
2012,STATEWIDE,PQI_11,Bacterial Pneumonia,236.28,236.28
2009,STATEWIDE,PQI_12,Urinary Tract Infection,176,176
2010,STATEWIDE,PQI_12,Urinary Tract Infection,175.89,175.89
2011,STATEWIDE,PQI_12,Urinary Tract Infection,172.37,172.37
2012,STATEWIDE,PQI_12,Urinary Tract Infection,166.43,166.43
2009,STATEWIDE,PQI_13,Angina Without Procedure,32.78,32.78
2010,STATEWIDE,PQI_13,Angina Without Procedure,27.17,27.17
2011,STATEWIDE,PQI_13,Angina Without Procedure,23.32,23.32
2012,STATEWIDE,PQI_13,Angina Without Procedure,20.79,20.79
2009,STATEWIDE,PQI_14,Uncontrolled Diabetes,36.96,36.96
2010,STATEWIDE,PQI_14,Uncontrolled Diabetes,31.24,31.24
2011,STATEWIDE,PQI_14,Uncontrolled Diabetes,27.94,27.94
2012,STATEWIDE,PQI_14,Uncontrolled Diabetes,26.07,26.07
2009,STATEWIDE,PQI_15,Asthma in Younger Adults,95.37,95.37
2010,STATEWIDE,PQI_15,Asthma in Younger Adults,74.58,74.58
2011,STATEWIDE,PQI_15,Asthma in Younger Adults,74.03,74.03
2012,STATEWIDE,PQI_15,Asthma in Younger Adults,72.49,72.49
2009,STATEWIDE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,14.74,14.74
2010,STATEWIDE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,14.08,14.08
2011,STATEWIDE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,14.52,14.52
2012,STATEWIDE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,14.52,14.52
